date,value
2020-04-12,33
2020-04-19,58
2020-04-26,76
2020-05-03,38
2020-05-10,32
2020-05-17,29
2020-05-24,14
2020-05-31,15
2020-06-07,15
2020-06-14,16
2020-06-21,15
2020-06-28,16
2020-07-05,17
2020-07-12,15
2020-07-19,49
2020-07-26,20
2020-08-02,16
2020-08-09,18
2020-08-16,18
2020-08-23,17
2020-08-30,21
2020-09-06,20
2020-09-13,20
2020-09-20,20
2020-09-27,17
2020-10-04,19
2020-10-11,18
2020-10-18,19
2020-10-25,16
2020-11-01,18
2020-11-08,19
2020-11-15,20
2020-11-22,19
2020-11-29,21
2020-12-06,24
2020-12-13,23
2020-12-20,16
2020-12-27,16
2021-01-03,25
2021-01-10,25
2021-01-17,24
2021-01-24,24
2021-01-31,23
2021-02-07,16
2021-02-14,17
2021-02-21,24
2021-02-28,24
2021-03-07,24
2021-03-14,26
2021-03-21,27
2021-03-28,27
2021-04-04,30
2021-04-11,37
2021-04-18,53
2021-04-25,72
2021-05-02,49
2021-05-09,32
2021-05-16,19
2021-05-23,17
2021-05-30,21
2021-06-06,19
2021-06-13,16
2021-06-20,14
2021-06-27,12
2021-07-04,14
2021-07-11,15
2021-07-18,44
2021-07-25,16
2021-08-01,12
2021-08-08,13
2021-08-15,15
2021-08-22,14
2021-08-29,17
2021-09-05,19
2021-09-12,20
2021-09-19,19
2021-09-26,19
2021-10-03,22
2021-10-10,21
2021-10-17,23
2021-10-24,24
2021-10-31,21
2021-11-07,23
2021-11-14,24
2021-11-21,23
2021-11-28,23
2021-12-05,25
2021-12-12,23
2021-12-19,15
2021-12-26,20
2022-01-02,30
2022-01-09,28
2022-01-16,24
2022-01-23,26
2022-01-30,17
2022-02-06,23
2022-02-13,24
2022-02-20,28
2022-02-27,28
2022-03-06,26
2022-03-13,26
2022-03-20,30
2022-03-27,35
2022-04-03,42
2022-04-10,44
2022-04-17,78
2022-04-24,72
2022-05-01,44
2022-05-08,26
2022-05-15,20
2022-05-22,18
2022-05-29,16
2022-06-05,18
2022-06-12,19
2022-06-19,22
2022-06-26,22
2022-07-03,26
2022-07-10,22
2022-07-17,58
2022-07-24,20
2022-07-31,16
2022-08-07,17
2022-08-14,16
2022-08-21,15
2022-08-28,18
2022-09-04,22
2022-09-11,22
2022-09-18,24
2022-09-25,22
2022-10-02,23
2022-10-09,24
2022-10-16,24
2022-10-23,25
2022-10-30,21
2022-11-06,24
2022-11-13,25
2022-11-20,23
2022-11-27,25
2022-12-04,25
2022-12-11,26
2022-12-18,18
2022-12-25,20
2023-01-01,28
2023-01-08,30
2023-01-15,23
2023-01-22,17
2023-01-29,28
2023-02-05,29
2023-02-12,29
2023-02-19,30
2023-02-26,30
2023-03-05,34
2023-03-12,35
2023-03-19,44
2023-03-26,41
2023-04-02,39
2023-04-09,47
2023-04-16,87
2023-04-23,82
2023-04-30,50
2023-05-07,30
2023-05-14,23
2023-05-21,20
2023-05-28,24
2023-06-04,25
2023-06-11,23
2023-06-18,16
2023-06-25,14
2023-07-02,16
2023-07-09,19
2023-07-16,62
2023-07-23,19
2023-07-30,15
2023-08-06,16
2023-08-13,17
2023-08-20,17
2023-08-27,17
2023-09-03,24
2023-09-10,26
2023-09-17,24
2023-09-24,27
2023-10-01,27
2023-10-08,25
2023-10-15,27
2023-10-22,28
2023-10-29,28
2023-11-05,26
2023-11-12,27
2023-11-19,28
2023-11-26,30
2023-12-03,30
2023-12-10,27
2023-12-17,22
2023-12-24,24
2023-12-31,32
2024-01-07,36
2024-01-14,31
